filename,reason
ghvLSUXD5pU_seg202.wav,Score 2/5: ✗ Peak bajo (0.196 < 0.2) | ✗ Centroid bajo (599 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.13 < 2.0) | ✓ RMS (0.0488 >= 0.01)
ghvLSUXD5pU_seg173.wav,Score 2/5: ✗ Peak bajo (0.197 < 0.2) | ✗ Centroid bajo (533 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.12 < 2.0) | ✓ RMS (0.0534 >= 0.01)
ghvLSUXD5pU_seg29.wav,Score 2/5: ✗ Peak bajo (0.200 < 0.2) | ✗ Centroid bajo (541 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.05 < 2.0) | ✓ RMS (0.0537 >= 0.01)
ghvLSUXD5pU_seg87.wav,Score 2/5: ✗ Peak bajo (0.187 < 0.2) | ✗ Centroid bajo (614 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.26 < 2.0) | ✓ RMS (0.0551 >= 0.01)
ghvLSUXD5pU_seg166.wav,Score 2/5: ✗ Peak bajo (0.196 < 0.2) | ✗ Centroid bajo (618 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.10 < 2.0) | ✓ RMS (0.0487 >= 0.01)
ghvLSUXD5pU_seg339.wav,Score 2/5: ✗ Peak bajo (0.190 < 0.2) | ✗ Centroid bajo (575 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.36 < 2.0) | ✓ RMS (0.0575 >= 0.01)
ghvLSUXD5pU_seg137.wav,Score 2/5: ✗ Peak bajo (0.197 < 0.2) | ✗ Centroid bajo (537 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.13 < 2.0) | ✓ RMS (0.0528 >= 0.01)
ghvLSUXD5pU_seg238.wav,Score 2/5: ✗ Peak bajo (0.197 < 0.2) | ✗ Centroid bajo (601 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.14 < 2.0) | ✓ RMS (0.0490 >= 0.01)
ghvLSUXD5pU_seg15.wav,Score 2/5: ✗ Peak bajo (0.183 < 0.2) | ✗ Centroid bajo (618 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.24 < 2.0) | ✓ RMS (0.0538 >= 0.01)
ghvLSUXD5pU_seg11.wav,Score 2/5: ✗ Peak bajo (0.199 < 0.2) | ✗ Centroid bajo (536 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.06 < 2.0) | ✓ RMS (0.0537 >= 0.01)
ghvLSUXD5pU_seg249.wav,Score 2/5: ✗ Peak bajo (0.182 < 0.2) | ✗ Centroid bajo (577 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.33 < 2.0) | ✓ RMS (0.0572 >= 0.01)
ghvLSUXD5pU_seg177.wav,Score 2/5: ✗ Peak bajo (0.184 < 0.2) | ✗ Centroid bajo (591 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.29 < 2.0) | ✓ RMS (0.0567 >= 0.01)
ghvLSUXD5pU_seg310.wav,Score 2/5: ✗ Peak bajo (0.199 < 0.2) | ✗ Centroid bajo (605 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.08 < 2.0) | ✓ RMS (0.0486 >= 0.01)
ghvLSUXD5pU_seg35.wav,Score 2/5: ✗ Peak bajo (0.192 < 0.2) | ✗ Centroid bajo (683 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.17 < 2.0) | ✓ RMS (0.0510 >= 0.01)
ghvLSUXD5pU_seg220.wav,Score 2/5: ✗ Peak bajo (0.198 < 0.2) | ✗ Centroid bajo (601 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.14 < 2.0) | ✓ RMS (0.0489 >= 0.01)
ghvLSUXD5pU_seg69.wav,Score 2/5: ✗ Peak bajo (0.184 < 0.2) | ✗ Centroid bajo (615 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.24 < 2.0) | ✓ RMS (0.0544 >= 0.01)
ghvLSUXD5pU_seg346.wav,Score 2/5: ✗ Peak bajo (0.199 < 0.2) | ✗ Centroid bajo (606 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.09 < 2.0) | ✓ RMS (0.0497 >= 0.01)
ghvLSUXD5pU_seg51.wav,Score 2/5: ✗ Peak bajo (0.190 < 0.2) | ✗ Centroid bajo (615 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.25 < 2.0) | ✓ RMS (0.0540 >= 0.01)
ghvLSUXD5pU_seg40.wav,Score 2/5: ✗ Peak bajo (0.198 < 0.2) | ✗ Centroid bajo (640 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.02 < 2.0) | ✓ RMS (0.0477 >= 0.01)
ghvLSUXD5pU_seg285.wav,Score 2/5: ✗ Peak bajo (0.189 < 0.2) | ✗ Centroid bajo (578 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.32 < 2.0) | ✓ RMS (0.0569 >= 0.01)
ghvLSUXD5pU_seg274.wav,Score 2/5: ✗ Peak bajo (0.198 < 0.2) | ✗ Centroid bajo (608 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.10 < 2.0) | ✓ RMS (0.0486 >= 0.01)
ghvLSUXD5pU_seg161.wav,Score 2/5: ✗ Peak bajo (0.199 < 0.2) | ✗ Centroid bajo (678 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.07 < 2.0) | ✓ RMS (0.0522 >= 0.01)
ghvLSUXD5pU_seg184.wav,Score 2/5: ✗ Peak bajo (0.197 < 0.2) | ✗ Centroid bajo (599 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.12 < 2.0) | ✓ RMS (0.0488 >= 0.01)
ghvLSUXD5pU_seg119.wav,Score 2/5: ✗ Peak bajo (0.198 < 0.2) | ✗ Centroid bajo (534 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.15 < 2.0) | ✓ RMS (0.0527 >= 0.01)
ghvLSUXD5pU_seg317.wav,Score 2/5: ✗ Peak bajo (0.198 < 0.2) | ✗ Centroid bajo (533 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.18 < 2.0) | ✓ RMS (0.0517 >= 0.01)
